name	description
orch-change-feature	Orchestrate altering an existing, working feature to new desired behavior — update tests to the new spec, change impl, r
orch-fix-defect	Orchestrate fixing a bug — reproduce it as a failing regression test, fix to green, review, gated commit. Wrapper for th
orch-refine-code	Orchestrate a behavior-preserving refactor — confirm tests green, restructure without changing behavior, keep green, rev
plan-prd	Generate a lean, problem-first PRD and hand off to /plan for implementation planning.
plan	Restate requirements, assess risks, and create step-by-step implementation plan. WAIT for user CONFIRM before touching a
pm2	Analyze a project and generate PM2 service commands for detected frontend, backend, or database services.
pr	Create a GitHub PR from current branch with unpushed commits — discovers templates, analyzes changes, pushes
project-init	Detect a project's stack and produce a dry-run ECC onboarding plan using the repository's install manifests and stack ma
projects	List known projects and their instinct statistics
promote	Promote project-scoped instincts to global scope
prp-commit	Quick commit with natural language file targeting — describe what to commit in plain English
prp-implement	Execute an implementation plan with rigorous validation loops
prp-plan	Create comprehensive feature implementation plan with codebase analysis and pattern extraction
prp-pr	Create a GitHub PR from current branch with unpushed commits — discovers templates, analyzes changes, pushes
prp-prd	Interactive PRD generator - problem-first, hypothesis-driven product spec with back-and-forth questioning
prune	Delete pending instincts older than 30 days that were never promoted
python-review	Comprehensive Python code review for PEP 8 compliance, type hints, security, and Pythonic idioms. Invokes the python-rev
quality-gate	Run the ECC formatter quality gate for a single file and report remediation steps.
react-build	Fix React build failures (Vite, webpack, Next.js, CRA, Parcel, esbuild, Bun) incrementally — JSX/TSX compile errors, hyd
react-review	Comprehensive React/JSX code review for hook correctness, render performance, server/client component boundaries, access
react-test	Enforce TDD workflow for React. Write React Testing Library tests first (behavior-focused, accessibility-first), then im
refactor-clean	Safely identify and remove dead code with verification after each change.
resume-session	Load the most recent session file from ~/.claude/session-data/ and resume work with full context from where the last ses
review-pr	Comprehensive PR review using specialized agents
rust-build	Fix Rust build errors, borrow checker issues, and dependency problems incrementally. Invokes the rust-build-resolver age
rust-review	Comprehensive Rust code review for ownership, lifetimes, error handling, unsafe usage, and idiomatic patterns. Invokes t
rust-test	Enforce TDD workflow for Rust. Write tests first, then implement. Verify 80%+ coverage with cargo-llvm-cov.
santa-loop	Adversarial dual-review convergence loop — two independent model reviewers must both approve before code ships.
save-session	Save current session state to a dated file in ~/.claude/session-data/ so work can be resumed in a future session with fu
security-scan	Run AgentShield against agent, hook, MCP, permission, and secret surfaces.
sessions	Manage Claude Code session history, aliases, and session metadata.
setup-pm	Configure your preferred package manager (npm/pnpm/yarn/bun)
skill-create	Analyze local git history to extract coding patterns and generate SKILL.md files. Local version of the Skill Creator Git
skill-health	Show skill portfolio health dashboard with charts and analytics
test-coverage	Analyze coverage, identify gaps, and generate missing tests toward the target threshold.
update-codemaps	Scan project structure and generate token-lean architecture codemaps.
update-docs	Sync documentation from source-of-truth files such as scripts, schemas, routes, and exports.
vue-review	Comprehensive Vue.js code review for Composition API correctness, reactivity, composable patterns, template security, ac
