kind	name	origin	description
skill	config-gc	ECC	Garbage collection for your Claude Code configuration. Periodically scans ~/.claude (skills, memory, hooks, permissions, MCP servers, caches) for redundant, sta
skill	configure-ecc	ECC	Interactive installer for Everything Claude Code — guides users through selecting and installing skills and rules to user-level or project-level directories, ve
skill	connections-optimizer	ECC	Reorganize the user's X and LinkedIn network with review-first pruning, add/follow recommendations, and channel-specific warm outreach drafted in the user's rea
skill	content-engine	ECC	Create platform-native content systems for X, LinkedIn, TikTok, YouTube, newsletters, and repurposed multi-platform campaigns. Use when the user wants social po
skill	content-hash-cache-pattern	ECC	Cache expensive file processing results using SHA-256 content hashes — path-independent, auto-invalidating, with service layer separation.
skill	context-budget	ECC	Audits Claude Code context window consumption across agents, skills, MCP servers, and rules. Identifies bloat, redundant components, and produces prioritized to
skill	continuous-agent-loop	ECC	Patterns for continuous autonomous agent loops with quality gates, evals, and recovery controls.
skill	continuous-learning-v2	ECC	Instinct-based learning system that observes sessions via hooks, creates atomic instincts with confidence scoring, and evolves them into skills/commands/agents.
skill	continuous-learning	ECC	[DEPRECATED - use continuous-learning-v2] Legacy v1 stop-hook skill extractor. v2 is a strict superset with instinct-based, project-scoped, hook-reliable learni
skill	cost-aware-llm-pipeline	ECC	Cost optimization patterns for LLM API usage — model routing by task complexity, budget tracking, retry logic, and prompt caching.
skill	cost-tracking	community	Track and report Claude Code token usage, spending, and budgets from a local cost-tracking database. Use when the user asks about costs, spending, usage, tokens
skill	council	ECC	Convene a four-voice council for ambiguous decisions, tradeoffs, and go/no-go calls. Use when multiple valid paths exist and you need structured disagreement be
skill	cpp-coding-standards	ECC	C++ coding standards based on the C++ Core Guidelines (isocpp.github.io). Use when writing, reviewing, or refactoring C++ code to enforce modern, safe, and idio
skill	cpp-testing	ECC	Use only when writing/updating/fixing C++ tests, configuring GoogleTest/CTest, diagnosing failing or flaky tests, or adding coverage/sanitizers.
skill	crosspost	ECC	Multi-platform content distribution across X, LinkedIn, Threads, and Bluesky. Adapts content per platform using content-engine patterns. Never posts identical c
skill	csharp-testing	ECC	C# and .NET testing patterns with xUnit, FluentAssertions, mocking, integration tests, and test organization best practices.
skill	customer-billing-ops	ECC	Operate customer billing workflows such as subscriptions, refunds, churn triage, billing-portal recovery, and plan analysis using connected billing tools like S
skill	customs-trade-compliance	ECC	>
skill	dart-flutter-patterns	ECC	Production-ready Dart and Flutter patterns covering null safety, immutable state, async composition, widget architecture, popular state management frameworks (B
skill	dashboard-builder	ECC direct-port adaptation	Build monitoring dashboards that answer real operator questions for Grafana, SigNoz, and similar platforms. Use when turning metrics into a working dashboard in
skill	data-scraper-agent	community	Build a fully automated AI-powered data collection agent for any public source — job boards, prices, news, GitHub, sports, anything. Scrapes on a schedule, enri
skill	data-throughput-accelerator	ECC	Use when large data ingestion, backfill, export, ETL, warehouse loading, manifest catch-up, or table synchronization needs to become much faster while preservin
skill	database-migrations	ECC	Database migration best practices for schema changes, data migrations, rollbacks, and zero-downtime deployments across PostgreSQL, MySQL, and common ORMs (Prism
skill	deep-research	ECC	Multi-source deep research using firecrawl and exa MCPs. Searches the web, synthesizes findings, and delivers cited reports with source attribution. Use when th
skill	defi-amm-security	ECC direct-port adaptation	Security checklist for Solidity AMM contracts, liquidity pools, and swap flows. Covers reentrancy, CEI ordering, donation or inflation attacks, oracle manipulat
skill	deployment-patterns	ECC	Deployment workflows, CI/CD pipeline patterns, Docker containerization, health checks, rollback strategies, and production readiness checklists for web applicat
skill	design-system	ECC	Use this skill to generate or audit design systems, check visual consistency, and review PRs that touch styling.
skill	django-celery	ECC	Django + Celery async task patterns — configuration, task design, beat scheduling, retries, canvas workflows, monitoring, and testing. Use when adding backgroun
skill	django-patterns	ECC	Django architecture patterns, REST API design with DRF, ORM best practices, caching, signals, middleware, and production-grade Django apps.
skill	django-security	ECC	Django security best practices, authentication, authorization, CSRF protection, SQL injection prevention, XSS prevention, and secure deployment configurations.
skill	django-tdd	ECC	Django testing strategies with pytest-django, TDD methodology, factory_boy, mocking, coverage, and testing Django REST Framework APIs.
skill	django-verification	ECC	Verification loop for Django projects: migrations, linting, tests with coverage, security scans, and deployment readiness checks before release or PR.
skill	dmux-workflows	ECC	Multi-agent orchestration using dmux (tmux pane manager for AI agents). Patterns for parallel agent workflows across Claude Code, Codex, OpenCode, and other har
skill	docker-patterns	ECC	Docker and Docker Compose patterns for local development, container security, networking, volume strategies, and multi-service orchestration.
skill	documentation-lookup	ECC	Use up-to-date library and framework docs via Context7 MCP instead of training data. Activates for setup questions, API references, code examples, or when the u
skill	dotnet-patterns	ECC	Idiomatic C# and .NET patterns, conventions, dependency injection, async/await, and best practices for building robust, maintainable .NET applications.
skill	dynamic-workflow-mode	ECC	Design task-local harnesses, eval gates, and reusable skill extraction for Claude dynamic workflow mode and other adaptive agent harnesses.
skill	e2e-testing	ECC	Playwright E2E testing patterns, Page Object Model, configuration, CI/CD integration, artifact management, and flaky test strategies.
skill	ecc-guide	community	Guide users through ECC's current agents, skills, commands, hooks, rules, install profiles, and project onboarding by reading the live repository surface before
skill	ecc-tools-cost-audit	ECC	Evidence-first ECC Tools burn and billing audit workflow. Use when investigating runaway PR creation, quota bypass, premium-model leakage, duplicate jobs, or Gi
skill	email-ops	ECC	Evidence-first mailbox triage, drafting, send verification, and sent-mail-safe follow-up workflow for ECC. Use when the user wants to organize email, draft or s
skill	energy-procurement	ECC	>
skill	enterprise-agent-ops	ECC	Operate long-lived agent workloads with observability, security boundaries, and lifecycle management.
skill	error-handling	ECC	Patterns for robust error handling across TypeScript, Python, and Go. Covers typed errors, error boundaries, retries, circuit breakers, and user-facing error me
skill	eval-harness	ECC	Formal evaluation framework for Claude Code sessions implementing eval-driven development (EDD) principles
skill	evm-token-decimals	ECC direct-port adaptation	Prevent silent decimal mismatch bugs across EVM chains. Covers runtime decimal lookup, chain-aware caching, bridged-token precision drift, and safe normalizatio
skill	exa-search	ECC	Neural search via Exa MCP for web, code, and company research. Use when the user needs web search, code examples, company intel, people lookup, or AI-powered de
skill	fal-ai-media	ECC	Unified media generation via fal.ai MCP — image, video, and audio. Covers text-to-image (Nano Banana), text/image-to-video (Seedance, Kling, Veo 3), text-to-spe
skill	fastapi-patterns	ECC	FastAPI best practices covering project structure, Pydantic v2 schemas, dependency injection, async handlers, authentication, authorization, transactional servi
skill	finance-billing-ops	ECC	Evidence-first revenue, pricing, refunds, team-billing, and billing-model truth workflow for ECC. Use when the user wants a sales snapshot, pricing comparison, 
skill	flox-environments	Flox	Create reproducible, cross-platform development environments with Flox — a declarative environment manager built on Nix. ALWAYS use this skill when the user nee
skill	flutter-dart-code-review	ECC	Library-agnostic Flutter/Dart code review checklist covering widget best practices, state management patterns (BLoC, Riverpod, Provider, GetX, MobX, Signals), D
skill	foundation-models-on-device	?	Apple FoundationModels framework for on-device LLM — text generation, guided generation with @Generable, tool calling, and snapshot streaming in iOS 26+.
skill	frontend-a11y	community	>
skill	frontend-design-direction	community	Set an ECC-specific frontend design direction for production UI work. Use when building or improving websites, dashboards, applications, components, landing pag
skill	frontend-patterns	ECC	Frontend development patterns for React, Next.js, state management, performance optimization, and UI best practices.
skill	frontend-slides	ECC	Create stunning, animation-rich HTML presentations from scratch or by converting PowerPoint files. Use when the user wants to build a presentation, convert a PP
skill	fsharp-testing	ECC	F# testing patterns with xUnit, FsUnit, Unquote, FsCheck property-based testing, integration tests, and test organization best practices.
skill	gan-style-harness	ECC-community	GAN-inspired Generator-Evaluator agent harness for building high-quality applications autonomously. Based on Anthropic's March 2026 harness design paper.
skill	gateguard	community	Fact-forcing gate that blocks Edit/Write/Bash (including MultiEdit) and demands concrete investigation (importers, data schemas, user instruction) before allowi
skill	git-workflow	ECC	Git workflow patterns including branching strategies, commit conventions, merge vs rebase, conflict resolution, and collaborative development best practices for
skill	github-ops	ECC	GitHub repository operations, automation, and management. Issue triage, PR management, CI/CD operations, release management, and security monitoring using the g
skill	golang-patterns	ECC	Idiomatic Go patterns, best practices, and conventions for building robust, efficient, and maintainable Go applications.
skill	golang-testing	ECC	Go testing patterns including table-driven tests, subtests, benchmarks, fuzzing, and test coverage. Follows TDD methodology with idiomatic Go practices.
skill	google-workspace-ops	ECC	Operate across Google Drive, Docs, Sheets, and Slides as one workflow surface for plans, trackers, decks, and shared documents. Use when the user needs to find,
skill	healthcare-cdss-patterns	Health1 Super Speciality Hospitals — contributed by Dr. Keyur Patel	Clinical Decision Support System (CDSS) development patterns. Drug interaction checking, dose validation, clinical scoring (NEWS2, qSOFA), alert severity classi
skill	healthcare-emr-patterns	Health1 Super Speciality Hospitals — contributed by Dr. Keyur Patel	EMR/EHR development patterns for healthcare applications. Clinical safety, encounter workflows, prescription generation, clinical decision support integration, 
skill	healthcare-eval-harness	Health1 Super Speciality Hospitals — contributed by Dr. Keyur Patel	Patient safety evaluation harness for healthcare application deployments. Automated test suites for CDSS accuracy, PHI exposure, clinical workflow integrity, an
skill	healthcare-phi-compliance	Health1 Super Speciality Hospitals — contributed by Dr. Keyur Patel	Protected Health Information (PHI) and Personally Identifiable Information (PII) compliance patterns for healthcare applications. Covers data classification, ac
skill	hermes-imports	ECC	Convert local Hermes operator workflows into sanitized ECC skills and release-pack artifacts. Use when preparing a Hermes workflow for public ECC reuse without 
skill	hexagonal-architecture	ECC	Design, implement, and refactor Ports & Adapters systems with clear domain boundaries, dependency inversion, and testable use-case orchestration across TypeScri
skill	hipaa-compliance	ECC direct-port adaptation	HIPAA-specific entrypoint for healthcare privacy and security work. Use when a task is explicitly framed around HIPAA, PHI handling, covered entities, BAAs, bre
skill	homelab-network-readiness	community	Readiness checklist for homelab VLAN segmentation, local DNS filtering, and WireGuard-style remote access before changing router, firewall, DHCP, or VPN configu
skill	homelab-network-setup	community	Practical home and homelab network planning for gateways, switches, access points, IP ranges, DHCP reservations, DNS, cabling, and common beginner mistakes.
skill	homelab-pihole-dns	community	Pi-hole installation, blocklist management, DNS-over-HTTPS setup, DHCP integration, local DNS records, and troubleshooting broken DNS resolution on a home netwo
skill	homelab-vlan-segmentation	community	Segmenting home networks into VLANs for IoT, guest, trusted, and server traffic using UniFi, pfSense/OPNsense, and MikroTik — including switch trunk config, fir
skill	homelab-wireguard-vpn	community	WireGuard VPN server setup, peer configuration, key generation, split tunneling vs full tunnel routing, and remote access to a home network from mobile and lapt
skill	hookify-rules	?	This skill should be used when the user asks to create a hookify rule, write a hook rule, configure hookify, add a hookify rule, or needs guidance on hookify ru
skill	inherit-legacy-style	community	Legacy-project style inheritance skill. Use when the user types /inherit-legacy-style, or when onboarding an AI coding agent onto a hand-written legacy project 
skill	intent-driven-development	?	Turn ambiguous or high-impact product and engineering changes into scoped, verifiable acceptance criteria before or alongside implementation. Use when a user as
skill	inventory-demand-planning	ECC	>
skill	investor-materials	ECC	Create and update pitch decks, one-pagers, investor memos, accelerator applications, financial models, and fundraising materials. Use when the user needs invest
skill	investor-outreach	ECC	Draft cold emails, warm intro blurbs, follow-ups, update emails, and investor communications for fundraising. Use when the user wants outreach to angels, VCs, s
skill	ios-icon-gen	community	Generate iOS app icons as PNG imagesets for Xcode asset catalogs from SF Symbols (5000+ Apple-native) or Iconify API (275k+ open source icons from 200+ collecti
skill	iterative-retrieval	ECC	Pattern for progressively refining context retrieval to solve the subagent context problem
skill	ito-basket-compare	ECC	Compare Itô prediction-market baskets against a user's knowledge base, portfolio notes, financial context, watchlist, or research thesis. Use for read-only bask
skill	ito-data-atlas-agent	ECC	Design background Data Atlas style agents for Itô basket research, market discovery, parameter drafting, and human-in-the-loop editing. Use for architecture and
skill	ito-market-intelligence	ECC	Research prediction-market events, venues, underliers, liquidity, and news context for Itô basket workflows. Use for read-only market intelligence, API-gated It
skill	ito-trade-planner	ECC	Build a non-advisory prediction-market trade planning worksheet for Itô or venue workflows. Use to inspect venues, underliers, constraints, order prerequisites,
skill	java-coding-standards	ECC	Java coding standards for Spring Boot and Quarkus services: naming, immutability, Optional usage, streams, exceptions, generics, CDI, reactive patterns, and pro
skill	jira-integration	ECC	Use this skill when retrieving Jira tickets, analyzing requirements, updating ticket status, adding comments, or transitioning issues. Provides Jira API pattern
skill	jpa-patterns	ECC	JPA/Hibernate patterns for entity design, relationships, query optimization, transactions, auditing, indexing, pagination, and pooling in Spring Boot.
skill	knowledge-ops	ECC	Knowledge base management, ingestion, sync, and retrieval across multiple storage layers (local files, MCP memory, vector stores, Git repos). Use when the user 
skill	kotlin-coroutines-flows	ECC	Kotlin Coroutines and Flow patterns for Android and KMP — structured concurrency, Flow operators, StateFlow, error handling, and testing.
skill	kotlin-exposed-patterns	ECC	JetBrains Exposed ORM patterns including DSL queries, DAO pattern, transactions, HikariCP connection pooling, Flyway migrations, and repository pattern.
skill	kotlin-ktor-patterns	ECC	Ktor server patterns including routing DSL, plugins, authentication, Koin DI, kotlinx.serialization, WebSockets, and testApplication testing.
skill	kotlin-patterns	ECC	Idiomatic Kotlin patterns, best practices, and conventions for building robust, efficient, and maintainable Kotlin applications with coroutines, null safety, an
skill	kotlin-testing	ECC	Kotlin testing patterns with Kotest, MockK, coroutine testing, property-based testing, and Kover coverage. Follows TDD methodology with idiomatic Kotlin practic
skill	kubernetes-patterns	ECC	Kubernetes workload patterns, resource management, RBAC, probes, autoscaling, ConfigMap/Secret handling, and kubectl debugging for production-grade deployments.
skill	laravel-patterns	ECC	Laravel architecture patterns, routing/controllers, Eloquent ORM, service layers, queues, events, caching, and API resources for production apps.
skill	laravel-plugin-discovery	ECC	Discover and evaluate Laravel packages via LaraPlugins.io MCP. Use when the user wants to find plugins, check package health, or assess Laravel/PHP compatibilit
skill	laravel-security	ECC	Laravel security best practices — authentication, authorization, Eloquent safety, CSRF, XSS prevention, API security, and secure deployment configurations.
skill	laravel-tdd	ECC	Laravel testing strategies with PHPUnit, Pest, model factories, HTTP tests, Sanctum authentication testing, mocking, and coverage.
skill	laravel-verification	ECC	Verification loop for Laravel projects: env checks, linting, static analysis, tests with coverage, security scans, and deployment readiness.
skill	latency-critical-systems	ECC	Use for latency-sensitive systems such as realtime dashboards, market data, streaming agents, execution gateways, queues, caches, or HFT-like infrastructure whe
skill	lead-intelligence	ECC	AI-native lead intelligence and outreach pipeline. Replaces Apollo, Clay, and ZoomInfo with agent-powered signal scoring, mutual ranking, warm path discovery, s
skill	liquid-glass-design	?	iOS 26 Liquid Glass design system — dynamic glass material with blur, reflection, and interactive morphing for SwiftUI, UIKit, and WidgetKit.
skill	llm-trading-agent-security	ECC direct-port adaptation	Security patterns for autonomous trading agents with wallet or transaction authority. Covers prompt injection, spend limits, pre-send simulation, circuit breake
skill	logistics-exception-management	ECC	>
skill	make-interfaces-feel-better	community	Apply concrete design-engineering details that make interfaces feel polished. Use when reviewing or improving UI spacing, typography, borders, shadows, motion, 
skill	manim-video	ECC	Build reusable Manim explainers for technical concepts, graphs, system diagrams, and product walkthroughs, then hand off to the wider ECC video stack if needed.
skill	market-research	ECC	Conduct market research, competitive analysis, investor due diligence, and industry intelligence with source attribution and decision-oriented summaries. Use wh
skill	marketing-campaign	ECC	End-to-end marketing campaign planning and execution. Covers audience research, positioning, campaign angle definition, landing page copy, email sequences, soci
skill	mcp-server-patterns	ECC	Build MCP servers with Node/TypeScript SDK — tools, resources, prompts, Zod validation, stdio vs Streamable HTTP. Use Context7 or official MCP docs for latest A
skill	messages-ops	ECC	Evidence-first live messaging workflow for ECC. Use when the user wants to read texts or DMs, recover a recent one-time code, inspect a thread before replying, 
skill	ml-adoption-playbook	ECC	End-to-end methodology for AI agents and software engineers to add machine learning algorithms to existing non-ML codebases. Covers problem framing, data readin
skill	mle-workflow	ECC	Production machine-learning engineering workflow for data contracts, reproducible training, model evaluation, deployment, monitoring, and rollback. Use when bui
skill	motion-advanced	?	Advanced motion patterns for React / Next.js — drag & drop, gestures, text animations, SVG path drawing, custom hooks, imperative sequences (useAnimate), loader
skill	motion-foundations	?	Motion tokens, spring presets, performance rules, device adaptation, accessibility enforcement, and SSR safety for React / Next.js using motion/react. Foundatio
skill	motion-patterns	?	Production-ready animation patterns for React / Next.js — button, modal, toast, stagger, page transitions, exit animations, scroll, and layout — built on motion
skill	motion-ui	ECC	Production-ready UI motion system for React/Next.js. Use when implementing animations, transitions, or motion patterns.
skill	mysql-patterns	ECC	MySQL and MariaDB schema, query, indexing, transaction, replication, and connection-pool patterns for production backends.
skill	nanoclaw-repl	ECC	Operate and extend NanoClaw v2, ECC's zero-dependency session-aware REPL built on claude -p.
skill	nestjs-patterns	ECC	NestJS architecture patterns for modules, controllers, providers, DTO validation, guards, interceptors, config, and production-grade TypeScript backends.
skill	netmiko-ssh-automation	community	Safe Python Netmiko patterns for read-only collection, bounded batch SSH, TextFSM parsing, guarded config changes, timeouts, and network automation error handli
skill	network-bgp-diagnostics	community	Diagnostics-only BGP troubleshooting patterns for neighbor state, route exchange, prefix policy, AS path inspection, and safe evidence collection.
skill	network-config-validation	community	Pre-deployment checks for router and switch configuration, including dangerous commands, duplicate addresses, subnet overlaps, stale references, management-plan
skill	network-interface-health	community	Diagnose interface errors, drops, CRCs, duplex mismatches, flapping, speed negotiation issues, and counter trends on routers, switches, and Linux hosts.
skill	nextjs-turbopack	ECC	Next.js 16+ and Turbopack — incremental bundling, FS caching, dev speed, and when to use Turbopack vs webpack.
skill	nodejs-keccak256	ECC direct-port adaptation	Prevent Ethereum hashing bugs in JavaScript and TypeScript. Node's sha3-256 is NIST SHA3, not Ethereum Keccak-256, and silently breaks selectors, signatures, st
skill	nutrient-document-processing	ECC	Process, convert, OCR, extract, redact, sign, and fill documents using the Nutrient DWS API. Works with PDFs, DOCX, XLSX, PPTX, HTML, and images.
skill	nuxt4-patterns	ECC	Nuxt 4 app patterns for hydration safety, performance, route rules, lazy loading, and SSR-safe data fetching with useFetch and useAsyncData.
skill	openclaw-persona-forge	community	为 OpenClaw AI Agent 锻造完整的龙虾灵魂方案。根据用户偏好或随机抽卡， 输出身份定位、灵魂描述(SOUL.md)、角色化底线规则、名字和头像生图提示词。 如当前环境提供已审核的生图 skill，可自动生成统一风格头像图片。 当用户需要创建、设计或定制 OpenClaw 龙虾灵魂时使用。 不适用于：微调
skill	opensource-pipeline	ECC	Open-source pipeline: fork, sanitize, and package private projects for safe public release. Chains 3 agents (forker, sanitizer, packager). Triggers: '/opensourc
skill	orch-add-feature	ECC	Orchestrate building a brand-new feature end to end — research, plan, TDD implementation, review, and gated commit — by delegating each phase to the matching EC
skill	orch-build-mvp	ECC	Orchestrate bootstrapping a working MVP from a design or spec document — ingest the doc, plan thin vertical slices, scaffold the first end-to-end slice, then TD
skill	orch-change-feature	ECC	Orchestrate altering an existing, working feature to new desired behavior — update its tests to the new spec, change the implementation to match, review, and ga
skill	orch-fix-defect	ECC	Orchestrate fixing a bug — reproduce it as a failing regression test, fix to green, review, and gated commit — by delegating each phase to the matching ECC agen
skill	orch-pipeline	ECC	Shared orchestration engine for the orch-* skill family. Defines the gated Research-Plan-TDD-Review-Commit pipeline, the size classifier, the agent map, and the
skill	orch-refine-code	ECC	Orchestrate a behavior-preserving refactor — confirm tests are green, restructure without changing behavior, keep tests green, review, and gated commit. Use whe
skill	parallel-execution-optimizer	ECC	Use when the user wants a task done much faster through parallel work, concurrent agents, batched tool calls, isolated worktrees, or many independent verificati
skill	perl-patterns	ECC	Modern Perl 5.36+ idioms, best practices, and conventions for building robust, maintainable Perl applications.
skill	perl-security	ECC	Comprehensive Perl security covering taint mode, input validation, safe process execution, DBI parameterized queries, web security (XSS/SQLi/CSRF), and perlcrit
skill	perl-testing	ECC	Perl testing patterns using Test2::V0, Test::More, prove runner, mocking, coverage with Devel::Cover, and TDD methodology.
skill	plan-orchestrate	ECC	Read a plan document, decompose it into steps, design a per-step agent chain from the ECC catalogue, and emit ready-to-paste /orchestrate custom prompts. Genera
skill	plankton-code-quality	community	Write-time code quality enforcement using Plankton — auto-formatting, linting, and Claude-powered fixes on every file edit via hooks.
skill	postgres-patterns	ECC	PostgreSQL database patterns for query optimization, schema design, indexing, and security. Based on Supabase best practices.
skill	prediction-market-oracle-research	ECC	Research prediction markets as data sources or oracle signals for products, agents, dashboards, and corporate decision intelligence. Use for source-grounded ana
skill	prediction-market-risk-review	ECC	Review prediction-market, basket, oracle, and trading-agent workflows for compliance, safety, data-quality, privacy, and execution risk. Use before any workflow
skill	prisma-patterns	ECC	Prisma ORM patterns for TypeScript backends — schema design, query optimization, transactions, pagination, and critical traps like updateMany returning count no
skill	product-capability	ECC	Translate PRD intent, roadmap asks, or product discussions into an implementation-ready capability plan that exposes constraints, invariants, interfaces, and un
skill	product-lens	ECC	Use this skill to validate the why before building, run product diagnostics, and pressure-test product direction before the request becomes an implementation co
skill	production-audit	community	Local-evidence production readiness audit for shipped apps, pre-launch reviews, post-merge checks, and what breaks in prod? questions without sending repo data 
skill	production-scheduling	ECC	>
skill	project-flow-ops	ECC	Operate execution flow across GitHub and Linear by triaging issues and pull requests, linking active work, and keeping GitHub public-facing while Linear remains
skill	prompt-optimizer	community	>-
skill	python-patterns	ECC	Pythonic idioms, PEP 8 standards, type hints, and best practices for building robust, efficient, and maintainable Python applications.
skill	python-testing	ECC	Python testing strategies using pytest, TDD methodology, fixtures, mocking, parametrization, and coverage requirements.
skill	pytorch-patterns	ECC	PyTorch deep learning patterns and best practices for building robust, efficient, and reproducible training pipelines, model architectures, and data loading.
skill	quality-nonconformance	ECC	>
skill	quarkus-patterns	ECC	Quarkus 3.x LTS architecture patterns with Camel for messaging, RESTful API design, CDI services, data access with Panache, and async processing. Use for Java Q
skill	quarkus-security	ECC	Quarkus Security best practices for authentication, authorization, JWT/OIDC, RBAC, input validation, CSRF, secrets management, and dependency security.
skill	quarkus-tdd	ECC	Test-driven development for Quarkus 3.x LTS using JUnit 5, Mockito, REST Assured, Camel testing, and JaCoCo. Use when adding features, fixing bugs, or refactori
skill	quarkus-verification	ECC	Verification loop for Quarkus projects: build, static analysis, tests with coverage, security scans, native compilation, and diff review before release or PR.
skill	ralphinho-rfc-pipeline	ECC	RFC-driven multi-agent DAG execution pattern with quality gates, merge queues, and work unit orchestration.
skill	react-patterns	ECC	React 18/19 patterns including hooks discipline, server/client component boundaries, Suspense + error boundaries, form actions, data fetching, state management 
skill	react-performance	ECC	React and Next.js performance optimization patterns adapted from Vercel Engineering's React Best Practices (https://github.com/vercel-labs/agent-skills). Organi
skill	react-testing	ECC	React component testing with React Testing Library, Vitest/Jest, MSW for network mocking, accessibility assertions with axe, and the decision boundary between c
